Geography,Rate per 100000 / 2018,Rate per 100000 / 2017
"Abbeville County, SC",Data suppressed,0
"Acadia Parish, LA",19.8,11.8
"Accomack County, VA",Data suppressed,Data suppressed
"Ada County, ID",3.3,4.5
"Adair County, IA",0,0
"Adair County, KY",Data suppressed,Data suppressed
"Adair County, MO",0,Data suppressed
"Adair County, OK",0,Data suppressed
"Adams County, CO",13.5,16.3
"Adams County, IA",0,0
"Adams County, ID",0,0
"Adams County, IL",0,Data suppressed
"Adams County, IN",Data suppressed,Data suppressed
"Adams County, MS",33.7,Data suppressed
"Adams County, ND",0,0
"Adams County, NE",Data suppressed,Data suppressed
"Adams County, OH",Data suppressed,0
"Adams County, PA",Data suppressed,Data suppressed
"Adams County, WA",0,0
"Adams County, WI",0,Data suppressed
"Addison County, VT",Data suppressed,Data suppressed
"Adjuntas Municipio, PR",0,Data suppressed
"Aguada Municipio, PR",Data suppressed,Data suppressed
"Aguadilla Municipio, PR",Data suppressed,19.6
"Aguas Buenas Municipio, PR",Data suppressed,Data suppressed
"Aibonito Municipio, PR",Data suppressed,Data suppressed
"Aiken County, SC",16.1,13.4
"Aitkin County, MN",0,0
"Alachua County, FL",17.9,21.6
"Alamance County, NC",14.3,16
"Alameda County, CA",14,14.5
"Alamosa County, CO",Data suppressed,Data suppressed
"Albany County, NY",8.6,13.1
"Albany County, WY",Data suppressed,0
"Albemarle County, VA",11.8,0
"Alcona County, MI",0,0
"Alcorn County, MS",Data suppressed,Data suppressed
"Aleutians East Borough, AK",Data suppressed,Data suppressed
"Aleutians West Census Area, AK",Data suppressed,Data suppressed
"Alexander County, IL",Data suppressed,Data suppressed
"Alexander County, NC",0,0
"Alexandria City, VA",19.7,22
"Alfalfa County, OK",0,0
"Alger County, MI",0,0
"Allamakee County, IA",0,0
"Allegan County, MI",Data suppressed,7.3
"Allegany County, MD",17.7,9.6
"Allegany County, NY",Data suppressed,0
"Alleghany County, NC",0,0
"Alleghany County, VA",0,0
"Allegheny County, PA",8,8.5
"Allen County, IN",8.5,7.6
"Allen County, KS",0,Data suppressed
"Allen County, KY",Data suppressed,Data suppressed
"Allen County, OH",8.2,Data suppressed
"Allen Parish, LA",Data suppressed,Data suppressed
"Allendale County, SC",Data suppressed,0
"Alpena County, MI",0,0
"Alpine County, CA",0,0
