Location,per_cap_phe_2018,SSP_ban
AL,57.23,1
AK,96.52,1
AZ,9.66,1
AR,50.57,0
CA,65.71,0
CO,50.3,0
CT,31.06,0
DE,40.78,0
DC,134.96,0
FL,18.63,1
GA,22.42,1
HI,119.61,1
ID,89.11,0
IL,25.95,0
IN,13.9,0
IA,40.15,1
KS,14.12,1
KY,34.23,0
LA,23.98,0
ME,17.69,0
MD,42.4,0
MA,76.31,0
MI,15.18,0
MN,43.99,0
MS,14.38,1
MO,7.07,1
MT,22.56,0
NE,46.54,1
NV,8.49,0
NH,22.85,0
NJ,28.29,0
NM,135.32,0
NY,83.99,0
NC,15.31,0
ND,54.1,0
OH,13.14,0
OK,38.99,1
OR,28.04,0
PA,14.5,0
RI,52.96,0
SC,26.13,1
SD,35.06,1
TN,49.55,0
TX,16.92,1
UT,33.44,0
VT,47.41,0
VA,38.08,0
WA,46.05,0
WV,59.61,0
WI,17.43,0
WY,53.37,0
