Geography,FIPS,Urbanization Level
"Abbeville County, SC",45001,Suburban
"Acadia Parish, LA",22001,Urban
"Accomack County, VA",51001,Rural
"Ada County, ID",16001,Urban
"Adair County, IA",19001,Rural
"Adair County, KY",21001,Rural
"Adair County, MO",29001,Rural
"Adair County, OK",40001,Suburban
"Adams County, CO",8001,Urban
"Adams County, IA",19003,Rural
"Adams County, ID",16003,Rural
"Adams County, IL",17001,Suburban
"Adams County, IN",18001,Suburban
"Adams County, MS",28001,Suburban
"Adams County, ND",38001,Rural
"Adams County, NE",31001,Suburban
"Adams County, OH",39001,Suburban
"Adams County, PA",42001,Urban
"Adams County, WA",53001,Suburban
"Adams County, WI",55001,Rural
"Addison County, VT",50001,Suburban
"Adjuntas Municipio, PR",72001,Suburban
"Aguada Municipio, PR",72003,Urban
"Aguadilla Municipio, PR",72005,Urban
"Aguas Buenas Municipio, PR",72007,Urban
"Aibonito Municipio, PR",72009,Urban
"Aiken County, SC",45003,Urban
"Aitkin County, MN",27001,Rural
"Alachua County, FL",12001,Urban
"Alamance County, NC",37001,Urban
"Alameda County, CA",6001,Urban
"Alamosa County, CO",8003,Rural
"Albany County, NY",36001,Urban
"Albany County, WY",56001,Suburban
"Albemarle County, VA",51003,Urban
"Alcona County, MI",26001,Rural
"Alcorn County, MS",28003,Rural
"Aleutians East Borough, AK",2013,Rural
"Aleutians West Census Area, AK",2016,Rural
"Alexander County, IL",17003,Urban
"Alexander County, NC",37003,Urban
"Alexandria City, VA",51510,Urban
"Alfalfa County, OK",40003,Rural
"Alger County, MI",26003,Rural
"Allamakee County, IA",19005,Suburban
"Allegan County, MI",26005,Suburban
"Allegany County, MD",24001,Urban
"Allegany County, NY",36003,Rural
"Alleghany County, NC",37005,Rural
"Alleghany County, VA",51005,Suburban
"Allegheny County, PA",42003,Urban
"Allen County, IN",18003,Urban
"Allen County, KS",20001,Rural
"Allen County, KY",21003,Urban
"Allen County, OH",39003,Urban
"Allen Parish, LA",22003,Suburban
"Allendale County, SC",45005,Suburban
"Alpena County, MI",26007,Rural
"Alpine County, CA",6003,Rural
"Amador County, CA",6005,Suburban
"Amelia County, VA",51007,Urban
American Samoa,60000,Data not available
"Amherst County, VA",51009,Urban
"Amite County, MS",28005,Rural
"Anchorage Municipality, AK",2020,Urban
"Anderson County, KS",20003,Suburban
"Anderson County, KY",21005,Suburban
"Anderson County, SC",45007,Urban
"Anderson County, TN",47001,Urban
"Anderson County, TX",48001,Rural
"Andrew County, MO",29003,Urban
"Andrews County, TX",48003,Suburban
"Androscoggin County, ME",23001,Urban
"Angelina County, TX",48005,Suburban
"Anne Arundel County, MD",24003,Urban
"Anoka County, MN",27003,Urban
"Anson County, NC",37007,Suburban
"Antelope County, NE",31003,Rural
"Antrim County, MI",26009,Rural
"Apache County, AZ",4001,Suburban
"Appanoose County, IA",19007,Rural
"Appling County, GA",13001,Rural
"Appomattox County, VA",51011,Urban
"Aransas County, TX",48007,Urban
"Arapahoe County, CO",8005,Urban
"Archer County, TX",48009,Urban
"Archuleta County, CO",8007,Rural
"Arecibo Municipio, PR",72013,Urban
"Arenac County, MI",26011,Rural
"Arkansas County, AR",5001,Suburban
"Arlington County, VA",51013,Urban
"Armstrong County, PA",42005,Urban
"Armstrong County, TX",48011,Urban
"Aroostook County, ME",23003,Rural
"Arroyo Municipio, PR",72015,Urban
